Date, Daily Fees ,average gas price,Date(UTC),Value (Wei),gas used,Date(UTC),Value,eth price,Date(UTC),Value,,,,,,,,
6/11/25, $7.28 ,,9/17/15,55637920883,,9/17/15,147106346,,9/17/15,0.89,,,,,,,,
6/10/25, $10.08 ,,9/18/15,55703151966,,9/18/15,212949263,,9/18/15,0.85,,,,,,,,
6/9/25, $6.94 ,,9/19/15,51639660974,,9/19/15,151038683,,9/19/15,0.89,,,,,,,,
6/8/25, $10.27 ,,9/20/15,52910345407,,9/20/15,206446103,,9/20/15,0.94,,,,,,,,
6/7/25, $8.79 ,,9/21/15,51171380285,,9/21/15,190902398,,9/21/15,0.9,,,,,,,,
6/6/25, $9.80 ,,9/22/15,51465441496,,9/22/15,211491983,,9/22/15,0.9,,,,,,,,
6/5/25, $9.24 ,,9/23/15,51732832046,,9/23/15,198471252,,9/23/15,0.9,,,,,,,,
6/4/25, $8.08 ,,9/24/15,54262646753,,9/24/15,183782502,,9/24/15,0.81,,,,,,,,
6/3/25, $6.91 ,,9/25/15,52300197415,,9/25/15,178617418,,9/25/15,0.74,,,,,,,,
6/2/25, $6.92 ,,9/26/15,55315658061,,9/26/15,160320021,,9/26/15,0.78,,,,,,,,
6/1/25, $6.09 ,,9/27/15,51025979902,,9/27/15,165754018,,9/27/15,0.72,,,,,,,,
5/31/25, $5.34 ,,9/28/15,52683661382,,9/28/15,171799357,,9/28/15,0.59,,,,,,,,
5/30/25, $5.86 ,,9/29/15,55437141860,,9/29/15,155322802,,9/29/15,0.68,,,,,,,,
5/29/25, $5.98 ,,9/30/15,51461473059,,9/30/15,161315703,,9/30/15,0.72,,,,,,,,
5/28/25, $5.86 ,,10/1/15,51474669294,,10/1/15,167413168,,10/1/15,0.68,,,,,,,,
5/27/25, $6.27 ,,10/2/15,52567714347,,10/2/15,175336965,,10/2/15,0.68,,,,,,,,
5/26/25, $6.40 ,,10/3/15,52502578427,,10/3/15,176738025,,10/3/15,0.69,,,,,,,,
5/25/25, $5.97 ,,10/4/15,50733256095,,10/4/15,175625589,,10/4/15,0.67,,,,,,,,
5/24/25, $6.94 ,,10/5/15,50742818443,,10/5/15,217225401,,10/5/15,0.63,,,,,,,,
5/23/25, $6.29 ,,10/6/15,51375494165,,10/6/15,185466056,,10/6/15,0.66,,,,,,,,
5/22/25, $7.10 ,,10/7/15,51181314265,,10/7/15,227483136,,10/7/15,0.61,,,,,,,,
5/21/25, $7.30 ,,10/8/15,56971870131,,10/8/15,206603046,,10/8/15,0.62,,,,,,,,
5/20/25, $7.29 ,,10/9/15,61962572208,,10/9/15,180944156,,10/9/15,0.65,,,,,,,,
5/19/25, $7.12 ,,10/10/15,64893302980,,10/10/15,174240457,,10/10/15,0.63,,,,,,,,
5/18/25, $5.48 ,,10/11/15,56318375319,,10/11/15,154497993,,10/11/15,0.63,,,,,,,,
5/17/25, $6.47 ,,10/12/15,51359902694,,10/12/15,200001725,,10/12/15,0.63,,,,,,,,
5/16/25, $7.14 ,,10/13/15,53219625156,,10/13/15,223630692,,10/13/15,0.6,,,,,,,,
5/15/25, $5.71 ,,10/14/15,57976429615,,10/14/15,193279995,,10/14/15,0.51,,,,,,,,
5/14/25, $10.67 ,,10/15/15,54823147993,,10/15/15,347607211,,10/15/15,0.56,,,,,,,,
5/13/25, $11.35 ,,10/16/15,53404946237,,10/16/15,400824348,,10/16/15,0.53,,,,,,,,
5/12/25, $6.79 ,,10/17/15,53619552703,,10/17/15,230368185,,10/17/15,0.55,,,,,,,,
5/11/25, $6.74 ,,10/18/15,52006592112,,10/18/15,249377360,,10/18/15,0.52,,,,,,,,
5/10/25, $5.57 ,,10/19/15,52456819761,,10/19/15,216816740,,10/19/15,0.49,,,,,,,,
5/9/25, $4.53 ,,10/20/15,53767556518,,10/20/15,191557542,,10/20/15,0.44,,,,,,,,
5/8/25, $4.26 ,,10/21/15,53588794315,,10/21/15,180468852,,10/21/15,0.44,,,,,,,,
5/7/25, $8.03 ,,10/22/15,57253941421,,10/22/15,237772273,,10/22/15,0.59,,,,,,,,
5/6/25, $6.93 ,,10/23/15,51207267003,,10/23/15,260401303,,10/23/15,0.52,,,,,,,,
5/5/25, $6.12 ,,10/24/15,50749518370,,10/24/15,211420205,,10/24/15,0.57,,,,,,,,
5/4/25, $5.71 ,,10/25/15,51635339670,,10/25/15,170100960,,10/25/15,0.65,,,,,,,,
5/3/25, $8.21 ,,10/26/15,54585998170,,10/26/15,203310004,,10/26/15,0.74,,,,,,,,
5/2/25, $17.01 ,,10/27/15,53525777571,,10/27/15,365376906,,10/27/15,0.87,,,,,,,,
5/1/25, $11.20 ,,10/28/15,54787998286,,10/28/15,202357247,,10/28/15,1.01,,,,,,,,
4/30/25, $14.68 ,,10/29/15,52364630378,,10/29/15,241667844,,10/29/15,1.16,,,,,,,,
4/29/25, $14.08 ,,10/30/15,54017718700,,10/30/15,250649964,,10/30/15,1.04,,,,,,,,
4/28/25, $14.19 ,,10/31/15,53753181787,,10/31/15,296674561,,10/31/15,0.89,,,,,,,,
4/27/25, $16.86 ,,11/1/15,50751088484,,11/1/15,316473677,,11/1/15,1.05,,,,,,,,
4/26/25, $9.87 ,,11/2/15,53162663704,,11/2/15,193339829,,11/2/15,0.96,,,,,,,,
4/25/25, $12.18 ,,11/3/15,51578536572,,11/3/15,236076946,,11/3/15,1,,,,,,,,
4/24/25, $8.23 ,,11/4/15,52243136362,,11/4/15,180987375,,11/4/15,0.87,,,,,,,,
4/23/25, $9.42 ,,11/5/15,52990311400,,11/5/15,199792729,,11/5/15,0.89,,,,,,,,
4/22/25, $14.88 ,,11/6/15,52184810513,,11/6/15,309939683,,11/6/15,0.92,,,,,,,,
4/21/25, $27.35 ,,11/7/15,51944373853,,11/7/15,572275369,,11/7/15,0.92,,,,,,,,
4/20/25, $30.15 ,,11/8/15,52414324288,,11/8/15,563914716,,11/8/15,1.02,,,,,,,,
4/19/25, $11.00 ,,11/9/15,51918274052,,11/9/15,211894015,,11/9/15,1,,,,,,,,
4/18/25, $13.84 ,,11/10/15,52237284910,,11/10/15,287969451,,11/10/15,0.92,,,,,,,,
4/17/25, $16.98 ,,11/11/15,52560853806,,11/11/15,414061456,,11/11/15,0.78,,,,,,,,
4/16/25, $23.67 ,,11/12/15,59050838844,,11/12/15,450460992,,11/12/15,0.89,,,,,,,,
4/15/25, $12.85 ,,11/13/15,51534479321,,11/13/15,280236525,,11/13/15,0.89,,,,,,,,
4/14/25, $16.42 ,,11/14/15,51216461485,,11/14/15,360305868,,11/14/15,0.89,,,,,,,,
4/13/25, $10.43 ,,11/15/15,51537798825,,11/15/15,224846805,,11/15/15,0.9,,,,,,,,
4/12/25, $9.73 ,,11/16/15,56768038418,,11/16/15,182259335,,11/16/15,0.94,,,,,,,,
4/11/25, $9.68 ,,11/17/15,56303859554,,11/17/15,171866071,,11/17/15,1,,,,,,,,
4/10/25, $10.33 ,,11/18/15,53515892028,,11/18/15,195036006,,11/18/15,0.99,,,,,,,,
4/9/25, $14.99 ,,11/19/15,54119551224,,11/19/15,291565861,,11/19/15,0.95,,,,,,,,
4/8/25, $10.90 ,,11/20/15,54384895828,,11/20/15,215430072,,11/20/15,0.93,,,,,,,,
4/7/25, $10.49 ,,11/21/15,54039631830,,11/21/15,200136785,,11/21/15,0.97,,,,,,,,
4/6/25, $10.37 ,,11/22/15,53793371733,,11/22/15,200785655,,11/22/15,0.96,,,,,,,,
4/5/25, $12.22 ,,11/23/15,55629754775,,11/23/15,233727612,,11/23/15,0.94,,,,,,,,
4/4/25, $11.25 ,,11/24/15,58042755370,,11/24/15,213080657,,11/24/15,0.91,,,,,,,,
4/3/25, $11.03 ,,11/25/15,54235748106,,11/25/15,236509015,,11/25/15,0.86,,,,,,,,
4/2/25, $8.18 ,,11/26/15,53986356287,,11/26/15,172083879,,11/26/15,0.88,,,,,,,,
4/1/25, $8.06 ,,11/27/15,53456555142,,11/27/15,173300084,,11/27/15,0.87,,,,,,,,
3/31/25, $13.71 ,,11/28/15,54312682973,,11/28/15,277436869,,11/28/15,0.91,,,,,,,,
3/30/25, $7.96 ,,11/29/15,53321187419,,11/29/15,171604728,,11/29/15,0.87,,,,,,,,
3/29/25, $18.38 ,,11/30/15,55199244474,,11/30/15,378296036,,11/30/15,0.88,,,,,,,,
3/28/25, $11.05 ,,12/1/15,54837947431,,12/1/15,231616100,,12/1/15,0.87,,,,,,,,
3/27/25, $9.33 ,,12/2/15,53588845124,,12/2/15,209753737,,12/2/15,0.83,,,,,,,,
3/26/25, $8.72 ,,12/3/15,53564860105,,12/3/15,198524826,,12/3/15,0.82,,,,,,,,
3/25/25, $10.18 ,,12/4/15,53920215595,,12/4/15,224707034,,12/4/15,0.84,,,,,,,,
3/24/25, $10.73 ,,12/5/15,54430269329,,12/5/15,231821279,,12/5/15,0.85,,,,,,,,
3/23/25, $14.56 ,,12/6/15,53904812363,,12/6/15,321509549,,12/6/15,0.84,,,,,,,,
3/22/25, $7.63 ,,12/7/15,53988885934,,12/7/15,176718066,,12/7/15,0.8,,,,,,,,
3/21/25, $7.62 ,,12/8/15,53743612456,,12/8/15,170716327,,12/8/15,0.83,,,,,,,,
3/20/25, $7.77 ,,12/9/15,54733915734,,12/9/15,179709088,,12/9/15,0.79,,,,,,,,
3/19/25, $9.47 ,,12/10/15,54938250098,,12/10/15,205190667,,12/10/15,0.84,,,,,,,,
3/18/25, $14.33 ,,12/11/15,58195798149,,12/11/15,270674425,,12/11/15,0.91,,,,,,,,
3/17/25, $20.42 ,,12/12/15,59486449382,,12/12/15,353864548,,12/12/15,0.97,,,,,,,,
3/16/25, $17.73 ,,12/13/15,56701649126,,12/13/15,325726017,,12/13/15,0.96,,,,,,,,
3/15/25, $74.78 ,,12/14/15,53372600387,,12/14/15,1415319249,,12/14/15,0.99,,,,,,,,
3/14/25, $123.10 ,,12/15/15,62650330558,,12/15/15,1945458070,,12/15/15,1.01,,,,,,,,
3/13/25, $44.86 ,,12/16/15,54026271431,,12/16/15,838759501,,12/16/15,0.99,,,,,,,,
3/12/25, $31.38 ,,12/17/15,55081281267,,12/17/15,606010119,,12/17/15,0.94,,,,,,,,
3/11/25, $30.14 ,,12/18/15,55034649240,,12/18/15,601895736,,12/18/15,0.91,,,,,,,,
3/10/25, $26.18 ,,12/19/15,53891713881,,12/19/15,539740128,,12/19/15,0.9,,,,,,,,
3/9/25, $31.45 ,,12/20/15,53342677327,,12/20/15,655002877,,12/20/15,0.9,,,,,,,,
3/8/25, $35.24 ,,12/21/15,53466176225,,12/21/15,740632642,,12/21/15,0.89,,,,,,,,
3/7/25, $52.30 ,,12/22/15,53627121090,,12/22/15,1120896788,,12/22/15,0.87,,,,,,,,
3/6/25, $69.75 ,,12/23/15,55663754533,,12/23/15,1474132298,,12/23/15,0.85,,,,,,,,
3/5/25, $39.15 ,,12/24/15,52792315740,,12/24/15,872428171,,12/24/15,0.85,,,,,,,,
3/4/25, $23.41 ,,12/25/15,53550792729,,12/25/15,502552472,,12/25/15,0.87,,,,,,,,
3/3/25, $26.79 ,,12/26/15,53675955367,,12/26/15,587287522,,12/26/15,0.85,,,,,,,,
3/2/25, $74.35 ,,12/27/15,66846252680,,12/27/15,1308470039,,12/27/15,0.85,,,,,,,,
3/1/25, $30.65 ,,12/28/15,53108130511,,12/28/15,687001176,,12/28/15,0.84,,,,,,,,
2/28/25, $29.05 ,,12/29/15,53729001893,,12/29/15,621538951,,12/29/15,0.87,,,,,,,,
2/27/25, $69.07 ,,12/30/15,56716784472,,12/30/15,1353161589,,12/30/15,0.9,,,,,,,,
2/26/25, $24.24 ,,12/31/15,57661175081,,12/31/15,452065747,,12/31/15,0.93,,,,,,,,
2/25/25, $14.88 ,,1/1/16,54747565393,,1/1/16,292262422,,1/1/16,0.93,,,,,,,,
2/24/25, $18.26 ,,1/2/16,53323453178,,1/2/16,368139389,,1/2/16,0.93,,,,,,,,
2/23/25, $19.11 ,,1/3/16,53342341402,,1/3/16,369359246,,1/3/16,0.97,,,,,,,,
2/22/25, $20.67 ,,1/4/16,54038066808,,1/4/16,402593450,,1/4/16,0.95,,,,,,,,
2/21/25, $58.65 ,,1/5/16,57078526509,,1/5/16,1081639803,,1/5/16,0.95,,,,,,,,
2/20/25, $64.37 ,,1/6/16,53724486418,,1/6/16,1248021662,,1/6/16,0.96,,,,,,,,
2/19/25, $62.25 ,,1/7/16,53273537581,,1/7/16,1230019603,,1/7/16,0.95,,,,,,,,
2/18/25, $25.79 ,,1/8/16,53800517545,,1/8/16,484149867,,1/8/16,0.99,,,,,,,,
2/17/25, $38.39 ,,1/9/16,53277018400,,1/9/16,727791392,,1/9/16,0.99,,,,,,,,
2/16/25, $25.84 ,,1/10/16,53104731714,,1/10/16,491410995,,1/10/16,0.99,,,,,,,,
2/15/25, $27.32 ,,1/11/16,53940328769,,1/11/16,482297856,,1/11/16,1.05,,,,,,,,
2/14/25, $31.65 ,,1/12/16,54526276152,,1/12/16,471922007,,1/12/16,1.23,,,,,,,,
2/13/25, $67.37 ,,1/13/16,58256098368,,1/13/16,1023451156,,1/13/16,1.13,,,,,,,,
2/12/25, $31.40 ,,1/14/16,55250356301,,1/14/16,489948500,,1/14/16,1.16,,,,,,,,
2/11/25, $28.79 ,,1/15/16,57562550443,,1/15/16,409950494,,1/15/16,1.22,,,,,,,,
2/10/25, $28.16 ,,1/16/16,55150540726,,1/16/16,418575124,,1/16/16,1.22,,,,,,,,
2/9/25, $22.66 ,,1/17/16,53477721574,,1/17/16,323467063,,1/17/16,1.31,,,,,,,,
2/8/25, $46.93 ,,1/18/16,53945900879,,1/18/16,591740638,,1/18/16,1.47,,,,,,,,
2/7/25, $49.97 ,,1/19/16,53767376718,,1/19/16,678347830,,1/19/16,1.37,,,,,,,,
2/6/25, $29.67 ,,1/20/16,55721616549,,1/20/16,348032526,,1/20/16,1.53,,,,,,,,
2/5/25, $31.96 ,,1/21/16,60639283859,,1/21/16,342268224,,1/21/16,1.54,,,,,,,,
2/4/25, $48.71 ,,1/22/16,56195249052,,1/22/16,570242575,,1/22/16,1.52,,,,,,,,
2/3/25, $36.33 ,,1/23/16,55504259187,,1/23/16,322444465,,1/23/16,2.03,,,,,,,,
2/2/25, $52.46 ,,1/24/16,58951408559,,1/24/16,423769859,,1/24/16,2.1,,,,,,,,
2/1/25, $103.11 ,,1/25/16,56752420983,,1/25/16,726749777,,1/25/16,2.5,,,,,,,,
1/31/25, $91.31 ,,1/26/16,58955359850,,1/26/16,673354229,,1/26/16,2.3,,,,,,,,
1/30/25, $140.33 ,,1/27/16,58687046251,,1/27/16,988064305,,1/27/16,2.42,,,,,,,,
1/29/25, $108.56 ,,1/28/16,56180261528,,1/28/16,757796542,,1/28/16,2.55,,,,,,,,
1/28/25, $94.96 ,,1/29/16,59508641167,,1/29/16,662122614,,1/29/16,2.41,,,,,,,,
1/27/25, $89.33 ,,1/30/16,67198755701,,1/30/16,547033880,,1/30/16,2.43,,,,,,,,
1/26/25, $77.36 ,,1/31/16,66544976813,,1/31/16,528433090,,1/31/16,2.2,,,,,,,,
1/25/25, $67.20 ,,2/1/16,66170097350,,2/1/16,467975052,,2/1/16,2.17,,,,,,,,
1/24/25, $74.74 ,,2/2/16,65763607541,,2/2/16,463852720,,2/2/16,2.45,,,,,,,,
1/23/25, $73.67 ,,2/3/16,64138762372,,2/3/16,454011879,,2/3/16,2.53,,,,,,,,
1/22/25, $92.56 ,,2/4/16,73409019027,,2/4/16,490608958,,2/4/16,2.57,,,,,,,,
1/21/25, $93.34 ,,2/5/16,68267066894,,2/5/16,532003821,,2/5/16,2.57,,,,,,,,
1/20/25, $506.14 ,,2/6/16,1.31917E+11,,2/6/16,1516518359,,2/6/16,2.53,,,,,,,,
1/19/25, $111.75 ,,2/7/16,81674346130,,2/7/16,456085675,,2/7/16,3,,,,,,,,
1/18/25, $114.23 ,,2/8/16,80464718771,,2/8/16,449250211,,2/8/16,3.16,,,,,,,,
1/17/25, $215.10 ,,2/9/16,1.2451E+11,,2/9/16,459451796,,2/9/16,3.76,,,,,,,,
1/16/25, $301.55 ,,2/10/16,1.41417E+11,,2/10/16,490191172,,2/10/16,4.35,,,,,,,,
1/15/25, $289.06 ,,2/11/16,66426480457,,2/11/16,682060218,,2/11/16,6.38,,,,,,,,
1/14/25, $179.00 ,,2/12/16,62799761220,,2/12/16,540874146,,2/12/16,5.27,,,,,,,,
1/13/25, $191.14 ,,2/13/16,57729244744,,2/13/16,634287258,,2/13/16,5.22,,,,,,,,
1/12/25, $143.09 ,,2/14/16,53479540613,,2/14/16,514552660,,2/14/16,5.2,,,,,,,,
1/11/25, $161.79 ,,2/15/16,56788416456,,2/15/16,545779880,,2/15/16,5.22,,,,,,,,
1/10/25, $139.83 ,,2/16/16,55814592783,,2/16/16,589465103,,2/16/16,4.25,,,,,,,,
1/9/25, $152.71 ,,2/17/16,54601880947,,2/17/16,724546098,,2/17/16,3.86,,,,,,,,
1/8/25, $127.94 ,,2/18/16,54513971078,,2/18/16,538282068,,2/18/16,4.36,,,,,,,,
1/7/25, $159.51 ,,2/19/16,54608221632,,2/19/16,656406787,,2/19/16,4.45,,,,,,,,
1/6/25, $117.38 ,,2/20/16,53778238540,,2/20/16,499477626,,2/20/16,4.37,,,,,,,,
1/5/25, $127.59 ,,2/21/16,54255151037,,2/21/16,507918522,,2/21/16,4.63,,,,,,,,
1/4/25, $184.97 ,,2/22/16,59577980579,,2/22/16,554402169,,2/22/16,5.6,,,,,,,,
1/3/25, $540.08 ,,2/23/16,61016867321,,2/23/16,1552859093,,2/23/16,5.7,,,,,,,,
1/2/25, $323.75 ,,2/24/16,58177356219,,2/24/16,893246284,,2/24/16,6.23,,,,,,,,
1/1/25, $193.65 ,,2/25/16,57464169480,,2/25/16,568292172,,2/25/16,5.93,,,,,,,,
12/31/24, $316.61 ,,2/26/16,54600904591,,2/26/16,961624302,,2/26/16,6.03,,,,,,,,
12/30/24, $181.97 ,,2/27/16,54108259575,,2/27/16,532969743,,2/27/16,6.31,,,,,,,,
12/29/24, $184.18 ,,2/28/16,54072562583,,2/28/16,524028419,,2/28/16,6.5,,,,,,,,
12/28/24, $216.31 ,,2/29/16,58416492222,,2/29/16,583141365,,2/29/16,6.35,,,,,,,,
12/27/24, $266.80 ,,3/1/16,59690933816,,3/1/16,588897890,,3/1/16,7.59,,,,,,,,
12/26/24, $357.33 ,,3/2/16,67322497890,,3/2/16,610077143,,3/2/16,8.7,,,,,,,,
12/25/24, $351.49 ,,3/3/16,56545945782,,3/3/16,664818999,,3/3/16,9.35,,,,,,,,
12/24/24, $365.43 ,,3/4/16,53626100171,,3/4/16,684182604,,3/4/16,9.96,,,,,,,,
12/23/24, $429.96 ,,3/5/16,47489912177,,3/5/16,823063642,,3/5/16,11,,,,,,,,
12/22/24, $435.84 ,,3/6/16,47260765636,,3/6/16,839897699,,3/6/16,10.98,,,,,,,,
12/21/24, $318.96 ,,3/7/16,50440843854,,3/7/16,665621532,,3/7/16,9.5,,,,,,,,
12/20/24, $383.68 ,,3/8/16,53596473626,,3/8/16,724565328,,3/8/16,9.88,,,,,,,,
12/19/24, $317.70 ,,3/9/16,38089619702,,3/9/16,722145124,,3/9/16,11.55,,,,,,,,
12/18/24, $231.17 ,,3/10/16,30204433047,,3/10/16,688871222,,3/10/16,11.11,,,,,,,,
12/17/24, $211.29 ,,3/11/16,29035652694,,3/11/16,646851762,,3/11/16,11.25,,,,,,,,
12/16/24, $310.55 ,,3/12/16,29197411911,,3/12/16,802737599,,3/12/16,13.25,,,,,,,,
12/15/24, $387.59 ,,3/13/16,30820960382,,3/13/16,838358312,,3/13/16,15,,,,,,,,
12/14/24, $340.77 ,,3/14/16,28509995013,,3/14/16,956222024,,3/14/16,12.5,,,,,,,,
12/13/24, $311.40 ,,3/15/16,26342144976,,3/15/16,903071543,,3/15/16,13.09,,,,,,,,
12/12/24, $294.29 ,,3/16/16,25523949148,,3/16/16,892420435,,3/16/16,12.92,,,,,,,,
12/11/24, $317.44 ,,3/17/16,27708932990,,3/17/16,1028386837,,3/17/16,11.14,,,,,,,,
12/10/24, $267.04 ,,3/18/16,26302902480,,3/18/16,944417594,,3/18/16,10.75,,,,,,,,
12/9/24, $389.89 ,,3/19/16,29326753003,,3/19/16,1260165166,,3/19/16,10.55,,,,,,,,
12/8/24, $310.28 ,,3/20/16,26655411712,,3/20/16,1157109905,,3/20/16,10.06,,,,,,,,
12/7/24, $348.08 ,,3/21/16,26198708915,,3/21/16,1109953099,,3/21/16,11.97,,,,,,,,
12/6/24, $289.12 ,,3/22/16,23516912695,,3/22/16,1121742299,,3/22/16,10.96,,,,,,,,
12/5/24, $369.27 ,,3/23/16,24515668491,,3/23/16,1225594298,,3/23/16,12.29,,,,,,,,
12/4/24, $449.16 ,,3/24/16,24817035022,,3/24/16,1626133605,,3/24/16,11.13,,,,,,,,
12/3/24, $394.47 ,,3/25/16,28125320881,,3/25/16,1312008358,,3/25/16,10.69,,,,,,,,
12/2/24, $367.91 ,,3/26/16,25100050063,,3/26/16,1332524164,,3/26/16,11,,,,,,,,
12/1/24, $202.56 ,,3/27/16,23366025518,,3/27/16,825632165,,3/27/16,10.5,,,,,,,,
11/30/24, $319.55 ,,3/28/16,23293862605,,3/28/16,1184635969,,3/28/16,11.58,,,,,,,,
11/29/24, $284.48 ,,3/29/16,24748798767,,3/29/16,979937403,,3/29/16,11.73,,,,,,,,
11/28/24, $461.30 ,,3/30/16,29356903690,,3/30/16,1322684855,,3/30/16,11.88,,,,,,,,
11/27/24, $295.98 ,,3/31/16,23943731847,,3/31/16,1083408441,,3/31/16,11.41,,,,,,,,
11/26/24, $291.78 ,,4/1/16,23089731009,,4/1/16,1086582845,,4/1/16,11.63,,,,,,,,
11/25/24, $210.53 ,,4/2/16,22939736669,,4/2/16,790470279,,4/2/16,11.61,,,,,,,,
11/24/24, $210.87 ,,4/3/16,22705288437,,4/3/16,801995961,,4/3/16,11.58,,,,,,,,
11/23/24, $286.30 ,,4/4/16,23071306359,,4/4/16,1117941655,,4/4/16,11.1,,,,,,,,
11/22/24, $304.66 ,,4/5/16,22855001812,,4/5/16,1282980842,,4/5/16,10.39,,,,,,,,
11/21/24, $242.83 ,,4/6/16,23774218158,,4/6/16,946603089,,4/6/16,10.79,,,,,,,,
